k,c,z
1.96815,0.864364,0.871197
2.09722,0.93746,1.03012
2.39773,1.07167,1.26301
2.58066,1.10028,1.17164
2.75085,1.14888,1.1867
3.24028,1.36361,1.57219
3.48541,1.3738,1.36126
3.95256,1.55572,1.63504
4.07882,1.50538,1.33055
4.12603,1.50429,1.28511
4.10908,1.48463,1.23008
3.96169,1.41362,1.10004
3.8406,1.38837,1.10404
3.61652,1.30092,0.9795
3.18738,1.1219,0.727794
2.82827,1.03482,0.705233
2.51268,0.948575,0.671303
2.18024,0.830517,0.567192
1.93739,0.782868,0.600623
1.89493,0.829074,0.808969
1.97748,0.887503,0.957235
2.20038,0.992489,1.14861
2.33531,1.01386,1.08015
2.53423,1.09029,1.17992
2.72001,1.14324,1.19713
2.67751,1.07521,0.966216
2.55488,1.01647,0.864498
2.48032,1.00628,0.896043
2.4775,1.02397,0.966496
2.49395,1.03391,0.988803
2.38794,0.968596,0.845152
2.21834,0.895933,0.742609
1.94966,0.767788,0.561753
1.78736,0.758208,0.651131
1.7354,0.772279,0.758817
1.75358,0.797024,0.838763
1.64846,0.720131,0.66167
1.58582,0.717122,0.707298
1.53746,0.703476,0.708332
1.55292,0.728704,0.790316
1.61511,0.762279,0.857033
1.68953,0.790295,0.886314
1.82532,0.851231,0.984513
1.99447,0.914292,1.05365
2.16153,0.967058,1.08223
2.34908,1.03066,1.13698
2.39943,1.01315,1.0051
2.25072,0.912246,0.770973
2.3317,0.999653,1.02428
2.33238,0.979535,0.941166
2.39393,1.0142,1.01523
2.30165,0.94492,0.840119
2.6539,1.16106,1.35541
2.81952,1.16738,1.19258
2.85588,1.14825,1.07434
2.64278,1.01875,0.797313
2.506,0.997771,0.840681
2.30903,0.917414,0.736718
2.18016,0.896543,0.777275
2.12807,0.900854,0.845063
2.06619,0.877547,0.819789
2.08319,0.904669,0.90802
2.18726,0.959891,1.0203
2.33786,1.01845,1.09648
2.77301,1.21514,1.45719
2.94776,1.2063,1.22036
3.60536,1.50335,1.7805
4.34509,1.70926,1.91392
4.73049,1.72252,1.61387
4.77317,1.66183,1.35624
4.50327,1.52089,1.08689
4.34341,1.51065,1.1557
3.92944,1.33559,0.885472
3.56522,1.24939,0.856014
3.296,1.19872,0.881344
3.02093,1.11667,0.821599
2.666,0.983913,0.6719
2.60325,1.04754,0.932278
2.7579,1.14754,1.17263
2.82414,1.14609,1.09754
2.75175,1.09002,0.952101
2.78668,1.12744,1.06107
2.5566,0.986723,0.762031
2.46236,0.995749,0.873314
2.69992,1.14927,1.24574
2.93574,1.21847,1.28006
3.24663,1.32533,1.39774
3.04745,1.14507,0.889452
2.69615,0.994186,0.682562
2.32784,0.868659,0.572614
2.04316,0.804738,0.583964
1.78929,0.723299,0.54072
1.73076,0.771001,0.756873
1.75369,0.798398,0.84428
1.69099,0.750267,0.725932
1.74815,0.806126,0.883204
1.83563,0.842236,0.932351
1.98481,0.906325,1.03013
2.43256,1.11469,1.42397
2.77583,1.19366,1.36332
2.98444,1.22567,1.25991
3.00491,1.18807,1.08469
3.05301,1.20924,1.11996
2.99162,1.16425,1.00741
2.91484,1.13772,0.979228
3.10441,1.25775,1.26209
3.0931,1.20598,1.07034
2.76407,1.02251,0.718514
2.5559,0.99403,0.782921
2.2299,0.846643,0.584758
2.02442,0.824641,0.663635
1.95769,0.842196,0.794127
1.91018,0.830426,0.800184
1.82294,0.788829,0.73374
1.8441,0.828203,0.863241
1.80094,0.794248,0.776933
1.79585,0.804481,0.821423
1.78481,0.798648,0.810761
1.81723,0.821783,0.867781
1.85336,0.834476,0.878827
1.81011,0.797224,0.778799
1.96035,0.898875,1.02852
1.95587,0.856927,0.855746
1.94399,0.851307,0.846029
1.93787,0.850939,0.851146
1.90635,0.833293,0.815759
1.75452,0.741639,0.637229
1.64256,0.721545,0.664856
1.60785,0.733479,0.746508
1.53516,0.693115,0.674065
1.50689,0.700051,0.727447
1.45524,0.672136,0.678908
1.36901,0.628163,0.608705
1.38425,0.67214,0.755323
1.37097,0.65418,0.702243
1.39766,0.678122,0.765399
1.39161,0.663943,0.717097
1.45725,0.710117,0.827651
1.40945,0.653564,0.662067
1.39886,0.667795,0.721596
1.42322,0.686006,0.767739
1.4197,0.67487,0.728211
1.53365,0.74929,0.902733
1.63843,0.781115,0.90955
1.62892,0.744995,0.771698
1.78407,0.842836,1.0004
1.7604,0.78574,0.78774
1.59345,0.671704,0.560091
1.51907,0.693078,0.683903
1.4659,0.676899,0.68386
1.39047,0.640704,0.630807
1.3742,0.658108,0.710533
1.3229,0.623458,0.639006
1.33907,0.655701,0.741972
1.28844,0.608782,0.62393
1.23461,0.593245,0.617652
1.17815,0.570386,0.594514
1.20857,0.614993,0.730558
1.20866,0.599563,0.672807
1.24467,0.627325,0.739192
1.26586,0.62821,0.719081
1.27333,0.626767,0.704418
1.23378,0.594177,0.62601
1.21629,0.600348,0.663538
1.18667,0.582384,0.630579
1.1926,0.599751,0.688364
1.22722,0.620117,0.73093
1.27805,0.642583,0.762767
1.39341,0.701485,0.871461
1.60513,0.797452,1.02852
1.74762,0.827242,0.975689
1.8981,0.878569,1.01468
2.0223,0.912206,1.00992
2.00303,0.868336,0.850204
1.91001,0.816193,0.748197
1.9494,0.867506,0.905562
1.84008,0.786322,0.71019
1.78303,0.785889,0.761697
1.80017,0.812283,0.848066
1.7271,0.759473,0.723269
1.7796,0.81534,0.884794
1.86868,0.853513,0.941043
2.00668,0.910612,1.02206
2.07141,0.912982,0.955438
2.12282,0.926082,0.951695
2.0773,0.885401,0.838823
1.9953,0.848343,0.781612
2.0563,0.907518,0.95018
2.02326,0.871183,0.839996
2.16816,0.963835,1.06047
2.21732,0.955638,0.968306
2.39076,1.04028,1.12943
2.46639,1.0401,1.04315
2.57927,1.08374,1.10072
2.72029,1.13302,1.15288
2.67794,1.07537,0.966502
2.81843,1.16229,1.16881
2.9549,1.20144,1.18702
2.92467,1.15225,1.02374
2.87323,1.13178,0.99499
2.8516,1.13283,1.019
2.95279,1.19272,1.1533
3.15923,1.27723,1.28614
3.3817,1.34357,1.33289
3.76477,1.4861,1.53417
4.2484,1.63495,1.67823
4.54729,1.66548,1.53865
4.55549,1.6013,1.30366
4.64597,1.64822,1.39779
4.74583,1.67395,1.41489
4.77522,1.66342,1.36061
4.58516,1.56185,1.16134
4.43267,1.53496,1.17453
4.43669,1.57531,1.30055
4.33355,1.52117,1.19357
4.2526,1.5068,1.20241
3.9636,1.37787,0.987185
3.89112,1.41426,1.15358
3.72888,1.34753,1.04999
3.46193,1.24657,0.915878
3.06274,1.09346,0.725004
2.9887,1.15999,0.993942
2.98812,1.17843,1.0634
2.87396,1.11593,0.936791
2.71322,1.055,0.861307
2.61745,1.04309,0.903286
2.53996,1.02396,0.905275
2.39851,0.962185,0.812401
2.39598,0.998803,0.951139
2.46566,1.03842,1.03685
2.6422,1.1179,1.17518
2.8432,1.1835,1.23187
2.88053,1.15569,1.07936
2.7729,1.08728,0.923078
2.70039,1.07443,0.942035
2.57919,1.02442,0.870979
2.44053,0.976403,0.824523
2.33167,0.950333,0.830624
2.37734,1.00513,0.996303
2.43292,1.02482,1.01648
2.34756,0.961462,0.857115
2.29679,0.954921,0.881778
2.25083,0.941514,0.876817
2.32816,0.997621,1.01919
2.43576,1.03846,1.06982
2.71925,1.16561,1.29501
3.00097,1.24763,1.33441
3.20845,1.29045,1.29259
3.14612,1.20862,1.03252
3.25249,1.28082,1.20728
3.28911,1.27411,1.14801
3.15375,1.19276,0.97025
3.0189,1.15355,0.94588
2.9297,1.13895,0.9705
3.15983,1.28314,1.30929
3.57129,1.43924,1.53676
3.8062,1.46026,1.39622
3.97577,1.49302,1.36678
3.98853,1.45924,1.23366
4.01354,1.47014,1.25231
